brand,model,price,description,category,country,source,sourceType,url
Sony,MDRZX110B,4 490 Ft,"Sony MDRZX110B Fejhallgató, Fekete",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-mdrzx110b-fejhallgato-fekete/p/162862
Samsung,BD-J4500R/EN,19 999 Ft,Samsung BD-J4500R/EN Blu-ray lejátszó,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/samsung-bd-j4500r-en-blu-ray-lejatszo/p/205183
Sony,MDRZX110W,4 490 Ft,"Sony MDRZX110W Fejhallgató, Fehér",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-mdrzx110w-fejhallgato-feher/p/162863
THOMSON,RT240,8 399 Ft,THOMSON RT240,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/thomson-rt240/p/167043
SONY,CMTSBT20.CEL,29 999 Ft,SONY CMTSBT20.CEL Mikro Hifi Rendszer,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-cmtsbt20-cel-mikro-hifi-rendszer/p/204973
THOMSON,RT 222,6 690 Ft,THOMSON RT 222,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/thomson-rt-222/p/143575
LG,DP132,10 999 Ft,LG DP132 DVD lejátszó,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/lg-dp132-dvd-lejatszo/p/162879
BLAUPUNKT,BB12BK,16 999 Ft,BLAUPUNKT BB12BK,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/blaupunkt-bb12bk/p/163752
Sony,HTRT3,59 999 Ft,Sony HTRT3 Házimozi rendszer,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-htrt3-hazimozi-rendszer/p/205056
Hama,49645,1 759 Ft,Hama 49645 LCD/Plazma Tisztítókendő + Gél,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/hama-49645-lcd-plazma-tisztitokendo--gel/p/163296
LG,DP542H,13 999 Ft,LG DP542H DVD lejátszó,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/lg-dp542h-dvd-lejatszo/p/160304
THOMSON,RT,6 890 Ft,THOMSON RT 223,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/thomson-rt-223/p/143121
SOMOGYI,VB,8 999 Ft,SOMOGYI VB 3100 Autóhifi fejegység,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/somogyi-vb-3100-autohifi-fejegyseg/p/212510
Alcor,HDT,9 999 Ft,Alcor HDT 2900 DVB-T2 vevő Beltéri Egység,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/alcor-hdt-2900-dvb-t2-vevo-belteri-egyseg/p/207521
MinDig,TV,11 000 Ft,MinDig TV Extra - Feltöltőkártya Alapcsomag 6 Hónap,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/mindig-tv-extra---feltoltokartya-alapcsomag-6-honap/p/134074
Strong,8114,6 999 Ft,Strong 8114 Beltéri Egység,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/strong-8114-belteri-egyseg/p/165001
MinDig,,31 990 Ft,MinDig TV Extra - Alapcsomag Amiko Dekóderrel 12 Hónap (Előre Fizetett),tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/mindig-tv-extra---alapcsomag-amiko-dekoderrel-12-honap-elore-fizetett/p/135632
MinDig,,22 990 Ft,MinDig TV Extra - Alapcsomag Amiko Dekóderrel 6 Hónap (Előre Fizetett),tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/mindig-tv-extra---alapcsomag-amiko-dekoderrel-6-honap-elore-fizetett/p/150040
JBL,Flip,39 999 Ft,"JBL Flip 4 vízálló Bluetooth Hangszóró, Fekete",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/jbl-flip-4-vizallo-bluetooth-hangszoro-fekete/p/212376
JVC,CS-DR420,6 999 Ft,JVC CS-DR420 10 cm-es Koaxiális Autós Hangszóró,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/jvc-cs-dr420-10-cm-es-koaxialis-autos-hangszoro/p/217550
JAM,Double,11 999 Ft,JAM Double Chill HX-P404BK Bluetooth hangszóró fekete,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/jam-double-chill-hx-p404bk-bluetooth-hangszoro-fekete/p/224229
Sony,SRSXB01L.CE7,8 999 Ft,"Sony SRSXB01L.CE7 Hordozható, vezeték nélküli hangsugárzó, Kék",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-srsxb01l-ce7-hordozhato-vezetek-nelkuli-hangsugarzo-kek/p/223174
