brand,model,price,description,category,country,source,sourceType,url
Huawei,Y6,"2,525.00 EGP","Huawei Y6 Prime 2018 Dual SIM, 16GB, 2GB RAM, 4G LTE - Blue",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-huawei-y6-prime-2018-blue/p/500548
HTC,Desire,"2,499.00 EGP","HTC Desire 12 Dual SIM - 32GB, 3GB RAM, 4G LTE - Silver",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-htc-desire-12-silver/p/500543
Meizu,C9,"2,499.00 EGP","Meizu C9 Pro Dual SIM - 32GB, 3GB, 4 LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-meizu-c9-pro-gold/p/500546
Samsung,Blue + Samsung Headphone,"5,999.00 EGP","Samsung Galaxy A7 Dual SIM - 128GB, 4GB RAM - Blue + Samsung Headphone",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-a7-2018-blue/p/498533
Samsung,GalaxyJ6,"3,049.00 EGP","Samsung GalaxyJ6 Plus Dual SIM, 32GB, 3GB RAM, 4G LTE -  Red",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-j6-2018-red/p/498527
Samsung,GalaxyJ6,"3,865.00 EGP","Samsung GalaxyJ6 Plus Dual SIM, 32GB, 3GB RAM, 4G LTE -  Gray",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-j6-2018-grey/p/498525
Samsung,Galaxy A7,"5,999.00 EGP","Samsung Galaxy A7 Dual SIM - 128GB, 4GB RAM - Black + Samsung Headphone",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-a7-2018-black/p/498532
Hoco,J26,299.00 EGP,"Hoco J26 Power Bank, 10000mAh - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/phone-accessories/power-banks/hoco-j26-power-bank-10000-mah/p/499254
Huawei,Y6,"2,525.00 EGP","Huawei Y6 Prime 2018 Dual SIM, 16GB, 2GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-huawei-y6-prime-2018-gold/p/500549
Meizu,C9,"2,499.00 EGP","Meizu C9 Pro Dual SIM - 32GB, 3GB, 4 LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-meizu-c9-pro-black/p/500544
Meizu,C9,"2,499.00 EGP","Meizu C9 Pro Dual SIM - 32GB, 3GB, 4 LTE - Blue",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-meizu-c9-pro-blue/p/500545
Samsung,Grey,"2,275.00 EGP","Samsung Galaxy J4 2018 Dual Sim, 32GB, 2GB RAM, 4G LTE - Grey",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j4-2018-32gb-grey/p/493347
Samsung,Galaxy J4,"2,275.00 EGP","Samsung Galaxy J4 2018 Dual Sim, 32GB, 2GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j4-2018-32gb-gold/p/493346
Samsung,Galaxy J4,"2,275.00 EGP","Samsung Galaxy J4 2018 Dual Sim, 32GB, 2GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j4-2018-32gb-black/p/493348
Samsung,Gold + Samsung Headphone,"5,999.00 EGP","Samsung Galaxy A7 Dual SIM - 128GB, 4GB RAM - Gold + Samsung Headphone",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-a7-2018-gold/p/498531
Sony,"
          Mediatek MT6757","4,299.00 EGP","Sony Xperia XA1 Ultra Dual SIM, 32GB, 4GB RAM, 4G LTE  -  Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/sony-xa1-ultra-black/p/486696
SAMSUNG,"
          Spreadtrum SC9830","2,290.00 EGP",SAMSUNG GALAXY J3 2016  BLACK,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j3-2016-black/p/486468
SAMSUNG,"
          Exynos 7870","4,545.00 EGP",SAMSUNG GALAXY J7 PRIME GOLD,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j7-prime-gold/p/486471
Samsung,"
          Mediatek MT6737T","1,599.00 EGP","Samsung Galaxy Grand Prime Plus Dual Sim - 8GB, 1.5GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-grand-prime-plus-gol/p/486473
Huawei,"
          Mediatek","1,869.00 EGP","Huawei Y5II Dual SIM, 8GB, 1GB RAM, 3G -  Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/huawei-y5-ii-3g-gold/p/486555
Sony,"
          Mediatek MT6755","2,249.00 EGP","Sony Xperia XA Dual SIM, 16GB,  3GB RAM, 4G LTE  -  Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/sony-xa-black/p/486765
Samsung,"
          Exynos 7870","4,545.00 EGP","Samsung Galaxy J7 Prime - 32GB, 3GB RAM - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j7-prime-black/p/486472
Huawei,"
          Mediatek MT6737T","2,179.00 EGP","Huawei Y5 2017 Dual Sim - 16GB, 2GB RAM, 4G LTE, Gray",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/huawei-y5-2017-4g-gray/p/486573
Huawei,"
          HiSilicon Kirin 655","3,889.00 EGP","Huawei GR3-2017 Dual SIM, 16GB,  3GB RAM, 4G LTE -  Blue",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/huawei-gr3-2017-blue/p/486565
Samsung,Galaxy J7,"4,499.00 EGP","Samsung Galaxy J7 Pro Dual SIM - 64GB, 3GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j7-pro-64gb-blac/p/488009
IQ&T,SILICON,25.00 EGP,IQ&T SILICON BACK CASE,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/phone-accessories/cases/iq-t-silicon-back-case/p/479667
IQ&T,TEMPERED,35.00 EGP,IQ&T TEMPERED GLASS PROTECTOR,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/phone-accessories/screen-protectors/iq-t-tempered-glass-protector/p/479669
Oppo,"
          Mediatek MT6763T","5,260.00 EGP","Oppo F5 Dual SIM - 32GB, 4GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-f5-oppo/p/480106
Samsung,"
          Exynos 7870 Octa","2,999.00 EGP","Samsung Galaxy J7 Core Dual SIM, 16GB, 2GB RAM, 4G LTE -  Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j7-core-black/p/486484
Huawei,"
          Mediatek MT6737М","1,625.00 EGP","Huawei Y3 2017 Dual Sim - 8GB, 1GB RAM, 4G LTE, Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/huawei-y3-2017-3g-gold/p/486575
Apple,"
          Apple A10 Fusion","11,899.00 EGP","Apple Iphone 7 With Facetime 32GB, 2GB RAM, 4G LTE - Silver",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/apple-iphone-7-32gb-silver/p/486589
Samsung,"
          Exynos 7870","4,499.00 EGP","Samsung Galaxy J7 Pro Dual SIM - 64GB, 3GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j7-pro-64gb-gold/p/486492
Samsung,"
          Exynos 7870","4,515.00 EGP","Samsung Galaxy J5 Pro 2017 Dual Sim - 32GB, 2GB RAM, 4G LTE, Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j5-pro-32gb-gold/p/486486
Samsung,"
          Spreadtrum SC9830","2,290.00 EGP","Samsung Galaxy J3 Dual SIM - 16GB, 1.5GB RAM, 3G - White",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j3-2016-white/p/486466
Samsung,"
          Exynos 7870","4,099.00 EGP","Samsung Galaxy J7 Prime 2 Dual SIM, 32GB, 3GB RAM, 4G LTE -  Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j7-prime2-gold/p/486494
SAMSUNG,"
          Spreadtrum SC9830","2,290.00 EGP",SAMSUNG GALAXY J3 2016  GOLD,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j3-2016-gold/p/486467
Samsung,"
          Exynos 7570","3,349.00 EGP","Samsung Galaxy J5 Prime Dual SIM, 16GB, 2GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j5-prime-black/p/486470
Samsung,"
          Exynos 7885","8,700.00 EGP","Samsung Galaxy A8 - 64GB, 4GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-a8-2018-black/p/486454
Samsung,"
          Qualcomm MSM8998 Snapdragon 835","15,800.00 EGP","Samsung Galaxy Note 8 Dual SIM, 64GB, 6GB RAM, 4G LTE  -  Grey",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-note-8-gray/p/486452
Sony,"
          Mediatek MT6755","3,249.00 EGP","Sony Xperia XA Ultra Dual SIM, 16GB,  3GB RAM, 4G LTE  -  White",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/sony-xa-ultra-white/p/486763
Lenovo,"
          Qualcomm MSM8937 SNAPDRAGON 430","2,499.00 EGP","Lenovo K6 Note Dual SIM - 32GB, 3GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/lenovo-k6-note-gold/p/486754
Samsung,"
          Exynos 7870 Octa","2,999.00 EGP","Samsung Galaxy J7 Core Dual SIM, 16GB, 2GB RAM, 4G LTE -  Silver",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j7-core-silver/p/486485
Samsung,"
          Exynos 7870 Octa","4,019.00 EGP","Samsung Galaxy J5 Pro Dual SIM, 16GB, 2GB RAM, 4G LTE - Pink",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-j5-pro-pink/p/486449
Samsung,"
          Exynos 7885","8,700.00 EGP","Samsung Galaxy A8 Plus Dual SIM - 64GB, 4GB RAM, 4G LTE - Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-a8-2018-gold/p/486456
Wiko,"16 GB,2 GB RAM,3G,Space Grey","1,749.00 EGP","Wiko Lenny3 Max Dual Sim - 16 GB,2 GB RAM,3G,Space Grey",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/wiko-lenny3-max-space-grey/p/486700
Samsung,"
          Qualcomm MSM8998 Snapdragon 835","14,100.00 EGP","Samsung Galaxy S8 Plus Dual SIM, 64GB, 4GB RAM, 4G LTE -  Maple Gold",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/samsung-galaxy-s8-gold/p/486446
Huawei,"
          HiSilicon Kirin 655","3,889.00 EGP","Huawei GR3-2017 Dual SIM - 16GB, 3GB RAM, 4G LTE - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/huawei-gr3-2017-black/p/486567
Wiko,"32GB, 3GB RAM, 4G LTE, Black","2,999.00 EGP","Wiko Upulse Dual Sim - 32GB, 3GB RAM, 4G LTE, Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/wiko-upulse-black/p/486721
Apple,"
          Apple A8","6,499.00 EGP",Apple iPhone 6 - 32GB - Gold,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/apple-iphone-6-32gb-gold/p/486613
MOTOROLA,"
          Mediatek MT6580M","1,349.00 EGP",MOTOROLA MOTO C 4G GOLD,Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/motorola-moto-c-4g-gold/p/486756
Sony,"
          Mediatek MT6795","2,489.00 EGP","Sony Xperia M5 Dual SIM - 16GB, 3GB RAM, 4G LTE, Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/mobile-phones/smartphones/mbl-m5-e5633-sony/p/446299
Alcatel,Pixi,"2,999.00 EGP","Alcatel Pixi 3 Tablet, 10.1 Inch, 8GB, 1GB RAM, 3G - Black",Smart Phones & Tablets,Egypt,Carrefour Egypt,online,https://www.carrefouregypt.com/mafegy/en/smartphones-tablets/tablets/tablet-pc/tab-pixi3-1g-16-10-alcatel/p/477536
