url,keyfeatures,brand,price,source,category
https://www.croma.com/onida-109-22-cm-43-inch-full-hd-led-tv-black-43fb1-2-/p/209348,"[""43-inch Screen Size"",""178 Degree Viewing Angle"",""8W + 8W Audio Output Power"",""2 USB And 2 HDMI Connectivity"",""ADS LED Panel""]","Onida 109.22 cm (43 inch) Full HD LED TV (Black, 43FB1/2)","27,990",croma,tv
https://www.croma.com/croma-98-cm-39-inch-hd-ready-led-smart-tv-black-crel7341-/p/209306,"[""Audio Output Power 10 x 2W"",""178 Degree Viewing Angle"",""98 cm Screen Size"",""Internet Connectivity"",""Screen Mirroring""]","Croma 98 cm (39 inch) HD Ready LED Smart TV (Black, CREL7341)","22,990",croma,tv
https://www.croma.com/croma-109-cm-43-inch-full-hd-led-tv-black-crel7337-/p/209416,"[""Audio Output Power 10 x 2W"",""178 Degree Viewing Angle"",""109 cm Screen Size"",""Cinema Zoom Feature"",""200000: 1 Contrast Ratio""]","Croma 109 cm (43 inch) Full HD LED TV (Black, CREL7337)","24,990",croma,tv
https://www.croma.com/onida-61-cm-24-inch-hd-ready-led-tv-black-leo24hrd-/p/195500,"[""61cm Screen Size"",""iPlayon Feature"",""20W Audio Output Power"",""USB And HDMI Connectivity"",""HD Ready Picture Quality""]","Onida 61 cm (24 inch) HD Ready LED TV (Black, LEO24HRD)","10,990",croma,tv
https://www.croma.com/onida-109-cm-43-inch-full-hd-led-tv-black-leo43fiab2-/p/197930,"[""109 cm Screen Size"",""ARM A7 Quad Core Processor"",""16W Audio Output Power"",""Screen Mirroring"",""Internet Connectivity""]","Onida 109 cm (43 inch) Full HD LED TV (Black, LEO43FIAB2)","32,990",croma,tv
https://www.croma.com/kodak-81-28-cm-32-inch-hd-ready-led-tv-32hdx900s-black-/p/209909,"[""32-inch Screen Size"",""178 Degree Viewing Angle"",""2 x 10W Audio Output Power"",""2 USB And 1 HDMI Connectivity"",""HD Ready Display""]","Kodak 81.28 cm (32 inch) HD Ready LED TV (32HDX900S,Black)","12,500",croma,tv
https://www.croma.com/sony-kd-43x7500e-109cm-43inch-4k-uhd-led-smart-tv/p/203761,"[""Clear Audio Plus Technology"",""4K X-Reality PRO Processor"",""Motionflow XR"",""Android Platform"",""Narrow Aluminum Look Frame Design""]",Sony KD-43X7500E 109cm (43inch) 4K UHD LED Smart TV,"64,990",croma,tv
https://www.croma.com/sony-kd-49x7002e-124cm-49inch-4k-ultra-hd-led-smart-tv/p/203762,"[""Clear Audio Plus Technology"",""4K X-Reality PRO Processor"",""HDR Gaming"",""Instant YouTube Access"",""Narrow Aluminum Frame Design""]",Sony KD-49X7002E 124cm (49inch) 4K Ultra HD LED Smart TV,"79,990",croma,tv
https://www.croma.com/sony-kd-49x7500e-124cm-49inch-4k-ultra-hd-led-smart-tv/p/203763,"[""Smart Android Platform"",""Edge LED Backlight"",""4K 3840x2160 Ultra HD Resolution"",""Live Colour Technology"",""DTS Digital Surround Sound""]",Sony KD-49X7500E 124cm (49inch) 4K Ultra HD LED Smart TV,"84,990",croma,tv
https://www.croma.com/sony-kd-55x7002e-140cm-55inch-4k-ultra-hd-led-smart-tv/p/203764,"[""Clear Audio Plus Technology"",""4K X-Reality PRO Processor"",""Miracast Technology"",""Instant YouTube Access"",""3 HDMI Ports""]",Sony KD-55X7002E 140cm (55inch) 4K Ultra HD LED Smart TV,"89,990",croma,tv
https://www.croma.com/sony-kd-65x7002e-124-46cm-65inch-4k-ultra-hd-smart-led-tv/p/203765,"[""Clear Audio Plus Technology"",""4K X-Reality PRO Processor"",""HDR Gaming"",""Instant YouTube Access"",""Instant Net Flix Access""]",Sony KD-65X7002E 124.46cm (65inch) 4K Ultra HD Smart LED TV,"179,990",croma,tv
https://www.croma.com/samsung-ua40m5000-102cm-40inch-full-hd-led-tv/p/203766,"[""40 Inches Display"",""Clean View Technology"",""Two HDMI And Two USB Ports"",""Wide Colour Enhancer Technology"",""Powerful Resolution Of 1920 X 1080 Pixels""]",Samsung UA40M5000 102cm (40inch) Full HD LED TV,"37,050",croma,tv
https://www.croma.com/samsung-109cm-43inch-4k-ultra-hd-led-smart-tv-43mu6100-/p/203767,"[""Premium Smart Remote Control"",""Vibrant Image Up Scaling"",""Voice Command Control"",""UHD Resolution""]",Samsung 109cm (43inch) 4K Ultra HD LED Smart TV (43MU6100),"53,485",croma,tv
https://www.croma.com/samsung-49m5100-124cm-49inch-full-hd-led-tv-2017-edition-/p/203768,"["" Mobile Mirroring"","" Clean View Technology"","" Two HDMI Ports"","" Sleek Design""]",Samsung 49M5100 124cm (49inch) Full HD LED TV (2017 Edition),"48,640",croma,tv
https://www.croma.com/samsung-55mu6470-138cm-55inch-ultra-hd-led-smart-tv-2017-edition-/p/203770,"[""Vibrant Image Up Scaling"",""Sleek Design"",""UHD Resolution"",""Premium Smart Remote Control""]",Samsung 55MU6470 138cm (55inch) Ultra HD LED Smart TV (2017 Edition),"113,905",croma,tv
https://www.croma.com/samsung-65mu6470-165cm-65inch-4k-ultra-hd-led-smart-tv-2017-edition-/p/203771,"["" Vibrant Image Up Scaling"","" UHD Resolution"","" Premium Smart Remote Control"","" Sleek Design""]",Samsung 65MU6470 165cm (65inch) 4K Ultra HD LED Smart TV (2017 Edition),"194,655",croma,tv
https://www.croma.com/lg-65uj752t-164cm-65inch-4k-ultra-hd-led-tv-2017-edition-/p/203772,"[""Smart Remote Control"",""Miracast Feature"",""Ultra HD Resolution"",""Ultra Luminance"",""webOS""]",LG 65UJ752T 164cm (65inch) 4K Ultra HD LED TV (2017 Edition),"209,990",croma,tv
https://www.croma.com/panasonic-th-65dx700d-164cm-65-inch-3d-4k-ultra-hd-led-tv/p/203908,"[""HEXA Chroma Drive Plus"",""High Dynamic Range (HDR) content"",""Super Bright Panel display"",""Firefox OS Smart TV""]",Panasonic TH-65DX700D 164cm (65 inch) 3D 4K Ultra HD LED TV,"184,990",croma,tv
https://www.croma.com/sony-kd49x9000e-123-2cm-49inch-4k-hdr-led-tv/p/203961,"[""49 Inches Wide Vibrant Display"",""Bravia Screen"",""Android TV"",""Miracast Technology""]",Sony KD49X9000E 123.2cm (49inch) 4K HDR LED TV,"119,990",croma,tv
https://www.croma.com/croma-led-full-hd-122cm-48inch-smart-el7325-v-3/p/203949,"[""Full HD Resolution (1920 x 1080)p"",""A + Grade, Zero Dot Panel"",""2 x HDMI | 2 x USB"",""Built-in Ethernet port and Wi-Fi module"",""Screen mirroring""]",Croma LED Full HD 122cm (48inch) Smart -EL7325 V.3,"34,990",croma,tv
https://www.croma.com/hitachi-ld50sy12a-ciw-127-cm-50-inch-lcd-tv-black-/p/204425,"[""Full HD (1920 x 1080)p"",""A + Grade, Zero Dot Panel"",""2 x HDMI | 1 x USB"",""USB Movies (Plays almost all audio, video formats)
 ""]",Hitachi LD50SY12A-CIW 127 cm (50 inch) LCD TV (Black),"54,990",croma,tv
https://www.croma.com/sony-kd-55a1e-139-7cm-55inch-4k-ultra-hd-oled-smart-tv/p/204396,"["" 4K Ultra HD resolution "","" 4K X-Reality Pro Clarity Enhancer"","" High-fidelity Audio Quality"","" Dual Database processing "","" Motionflow XR Technology ""]",Sony KD-55A1E 139.7cm (55inch) 4K Ultra HD OLED Smart TV,"299,990",croma,tv
https://www.croma.com/sony-65a1e-164cm-65inch-4k-ultra-hd-oled-smart-tv/p/204397,"[""3840 x 2160 Pixels Display Resolution"",""65-Inch OLED Screen"",""4K HDR Processor X1 Extreme Picture Processor"",""Digital Sound Enhancement Engine"",""Cinematic S-Force Front Surround Sound""]",Sony 65A1E 164cm (65inch) 4K Ultra HD OLED Smart TV,"399,990",croma,tv
https://www.croma.com/panasonic-th-32e201dx-80cm-32inch-hd-led-tv/p/204337,"[""Vivid Digital Pro Feature"",""USB And HDMI Connectivity"",""V-Audio Surround Sound"",""Noise Reduction Feature"",""Full Range Speakers""]",Panasonic TH-32E201DX 80cm (32inch) HD LED TV,"23,590",croma,tv
https://www.croma.com/lg-oled65b7t-165cm-65inch-ultra-hd-oled-tv/p/204710,"[""Self Lightning Pixel Technology"",""Active HDR with Dolby Vision"",""Infinite Contrast Pixels"",""webOS Smart TV"",""Dolby Digital Decoder""]",LG OLED65B7T 165cm (65inch) Ultra HD OLED TV,"298,000",croma,tv
https://www.croma.com/croma-led-hdr-71cm-28inch-el7069/p/205144,"[""HDR (1366 x 768)p
 A + Grade"",""Zero Dot Panel"",""1 x HDMI | 2 x USB
 USB Movies (Plays almost all audio video formats)""]",Croma LED HDR 71cm (28inch) - EL7069,"10,990",croma,tv
https://www.croma.com/croma-crel7070-60cm-24inch-hd-ready-led-tv/p/205598,"[""HD Ready LED Display"",""USB And HDMI Connectivity"",""10W + 10W Audio Output Power"",""178 Degree Viewing Angle"",""1366 x 768 Pixels LED Display""]",Croma CREL7070 60cm (24inch) HD Ready LED TV,"9,990",croma,tv
