Brand,Model Name,Category,HDMI,Sale Price(₹),Regular Price(₹),Seller
UNUIGA,T96R RK3229 Android 6.0 TV Box 1GB RAM 8GB ROM Quad Core Set Top Boxes XBMC Kodi Pre-installed WiFi 4K 1080P 64bit Internet TV Box,"1 X T96R Android Box, 1 X HDMI Cable, 1 X Power Adapter, 1 X Remote Controller (Without Batteries), 1 X User Manual","Yes, 2.0","2,799","7,999",PROFITECH (4.3)
Smart Power,"eceivers > Set-top Boxes
 MXQ Full HD 1080P OTT TV BOX Android 4.4 Media Player, Quad-Core Cortex-A5 CPU, Quad-Core Mali-450 GPU,","1 Android TV Box, 1 Power adaptor, 1 Remote control, 1 HDMI cable, 1 User manual",Yes,"2,999","5,500",SmartShopee (3.8)
iBubble,MXQ Amlogic S905W Android 7.1 1GB RAM 8GB ROM Quad Core Set Top Boxes Kodi Pre-installed WiFi 4K 1080P 64bit Smart Internet Android TV Box,1,Yes,"3,599","3,999",AGON
UNUIGA,X96 Mini Amlogic S905W 1GB RAM 8GB ROM Android 7.1 TV Box Quad Core Set Top Boxes XBMC Kodi Pre-installed WiFi 4K 1080P 64bit Internet TV Box,"1 X X96 Mini Device, 1 X HDMI Cable, 1 X Power Adapter, 1 X Remote Controller (Without Batteries), 1 X User Manual","Yes, 2.0","2,799","6,999",PROFITECH (4.3)
UNUIGA,X96 Mini Amlogic S905W 2GB RAM 16GB ROM Android 7.1 TV Box Quad Core Set Top Boxes XBMC Kodi Pre-installed WiFi 4K 1080P 64bit Internet TV Box,"1 X X96 Mini Android TV Box, 1 X HDMI Cable, 1 X Power Adapter DC 5V, 1 X Remote Control (without Batteries), 1 x User Manual","Yes, 2.0","3,499","9,999",PROFITECH (4.3)
Shrih,Android 5.1 Smart TV Box Quad Core Set Top Boxes,1 Android 5.1 TV Box Quad Core Set Top Boxes,Yes,"7,999",,SHRIH (3.5)
VENSMILE,TX3 Mini Amlogic S905W Android 7.1 TV Box 1GB Ram 16GB ROM Quad Core Set Top Boxes,"1 X Android TV Box, 1 X HDMI Cable, 1 X Power Adapter DC5V, 1 X Remote Control (Without Batteries), 1 X User Manual",Yes,"2,999","6,999",PROFITECH (4.3)
Etake,"MINI Portable VGA2HDMI Converter, Adapter Plug and Play For HD Camera, HD Dvd, set top Boxes, HD Players, Blu- ray, Dvd Players",1,Yes,569,"1,599",Ineshfashion (4.3)
Teratech,3 Port HDMI Switch Switcher Changer with remote for HDTV PS3 DVD,1,Yes,474,"1,599",Ineshfashion (4.3)
Piqancy,Anycast WiFi Wireless Mini Display Receiver Dongle HDMI TV Miracast DLNA Airplay for IOS Apple iPhone iPad Android Smartphone Windows,1 unit,Yes,999,"2,999",JagdambaEntrprises (3.7)
MBOX,"mbox x 92 2gb, 16gb","x X92 TV Box Android 6.0 Online Player, 1 x Remote Control, 1 x HDMI Cable, 1 x Power Adapter, 1 x English User Manual","Yes, 2.0","6,429","9,280",Digicartz (3.8)
Supershopperindia,2 Port USB Auto Sharer Switch,"USB Switch, Driver CD",No,999,"1,200",SuperShopperIndia (3.7)
Cubetek,HD Media Player,"5 V Adapter, AV Cable, User Manual, Remote Controller, HD Media Player, Warranty Card","Yes, HDMI 1.3","2,799","3,100",Melodymedia (4)
kaykon,Wireless TV HDMI Dongle Pixel XL Compatible 2017 E8A 1080P Wifi Display Dongle Receiver Airplay Support Miracast DLNA,1 Medai streaming device,Yes,"2,299","3,399",KayKon (3.7)
Axcess,"H96 pro Android 7.1.1 TV Dongle mini pc with Amlogic s912,8 core 64 bit cpu,2GB RAM,8GB ROM,2.4G wifi,4k HDMI support",1 H96 Pro Android TV Dongle,Yes,"5,999","9,999",SmartShopee (3.8)
Amkette,EVO TV 3 4K Advanced,"Evo TV 3, Evo Air Remote, USB Nano Receiver, 2 X AAA Battery, HDMI Cable, Power Adaptor, Quick Start Guide, Remote Guide",Yes,"6,999","7,999",Amkette (4.1)
Avyana,Anycast wifi HDMI Dongle Wireless Display Receiver Support sharing Online Streaming to Tv WSNJ5467,1 unit Anycast Dongle,Yes,"1,049","2,499",FASHIONADDA92 (3.3)
