sellingPrice,url,model,seller,HDMI_Location,HDMI,regularPrice,source,brand,category,categories
"₹32,999",https://www.flipkart.com/vu-108cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmf3zkj328jfeht?pid=TVSF3ZKJCKGZTT78&srno=b_1_23&otracker=browse&lid=LSTTVSF3ZKJCKGZTT78RFUZXD&fm=organic&iid=87f993d8-4530-47cd-accc-dab04003d69d.TVSF3ZKJCKGZTT78.SEARCH,9043U,OmniTechRetail (4.1),"2 Back Side, 2 Left Side",4,"₹49,600",flipkart,Vu,tv,"[""1 TV Unit"",""IR/EN3C39 Remote Controller"",""2 AAA Batteries"",""Detachable Power Cord"",""Table Top Stand"",""Wall Mount Bracket""]"
"₹31,999",https://www.flipkart.com/vu-124cm-49-inch-full-hd-led-smart-tv/p/itmemnaeujwhu3fw?pid=TVSEMNAEGAYHFAFE&srno=b_1_24&otracker=browse&lid=LSTTVSEMNAEGAYHFAFEI5HP4O&fm=organic&iid=711d0903-d28e-47df-8632-f0022aa6dbaa.TVSEMNAEGAYHFAFE.SEARCH,49S6575,OmniTechRetail (4.1),Back,3,"₹43,600",flipkart,Vu,tv,"[""1 TV Unit"",""Remote Controller (Technology / Quantity): IR / 1"",""Battery (Size / Quantity): AAA / 2"",""1 Power Cord"",""1 Cable Tie"",""1 User Manual"",""Vesa Wall Mount Dimensions (Horiz / Vert): 200 x 200 mm""]"
"₹10,499",https://www.flipkart.com/noble-skiodo-80cm-32-inch-hd-ready-led-tv/p/itmewzgfs2dhcvsr?pid=TVSEWZGFSZYDZZBS&srno=b_2_41&otracker=browse&lid=LSTTVSEWZGFSZYDZZBSHMQ5IV&fm=organic&iid=71507502-b2a1-4bee-ad55-4ec29ab8792f.TVSEWZGFSZYDZZBS.SEARCH,NB32R01,OmniTechRetail (4.1),1 Rear,1,"₹14,999",flipkart,Noble,tv,"[""1 TV Unit"",""Remote"",""User Manual"",""Batteries"",""Table Top Stand Accessories"",""Wall Mount Accessories""]"
"₹28,999",https://www.flipkart.com/onida-livegenius-109-22cm-43-inch-full-hd-led-smart-tv/p/itmeurhgp3ry3v7m?pid=TVSEURHGGFTAYKRG&srno=b_2_42&otracker=browse&lid=LSTTVSEURHGGFTAYKRGWS2LUG&fm=organic&iid=0d63c14d-4665-4d76-aae6-370355d9671f.TVSEURHGGFTAYKRG.SEARCH,43 FIS,OmniTechRetail (4.1),Backside,3,"₹42,990",flipkart,Onida,tv,"[""TV Unit"",""Instruction Manual"",""Remote Handset"",""Battery Cell"",""Wall Mount (Accessory)"",""Table Top (In Carton)""]"
"₹29,999",https://www.flipkart.com/kodak-122cm-50-inch-full-hd-led-smart-tv/p/itmemx8nvhesryyq?pid=TVSEMX8NHUMT2QAY&srno=b_2_43&otracker=browse&lid=LSTTVSEMX8NHUMT2QAY08VVZB&fm=organic&iid=2e0f65cb-44f0-4c28-9f5b-1667d1156e88.TVSEMX8NHUMT2QAY.SEARCH,50FHDXSMART,OmniTechRetail (4.1),Back,2,"₹45,990",flipkart,Kodak,tv,"[""1 TV"",""Remote Control"",""2 AAA Batteries"",""Power Cord"",""Cable Tie"",""User Manual"",""Vesa Wall Mounting Brackets""]"
"₹10,999",https://www.flipkart.com/marq-flipkart-80cm-32-inch-hd-ready-led-tv/p/itmf3zygdx7bvczc?pid=TVSEWMCBXTP4PJ3J&srno=b_2_44&otracker=browse&lid=LSTTVSEWMCBXTP4PJ3JWCBONT&fm=organic&iid=REQ07965303d3cf41ee917caff531eaf5cc_1,32DSHD,OmniTechRetail (4.1),2 Rear,2,"₹16,499",flipkart,MarQ,tv,"[""Television, Remote, Wallmount Stand, 2 x AAA Batteries, 2 x Desktop Stand, 4 x Stand Support Crews, User Manual""]"
"₹23,999",https://www.flipkart.com/sony-bravia-80cm-32-inch-hd-ready-led-smart-tv/p/itmeh8vzmgeb83vg?pid=TVSEH8VZNRRSJUNN&srno=b_2_45&otracker=browse&lid=LSTTVSEH8VZNRRSJUNNTHWWM2&fm=organic&iid=f817e82b-10cc-4112-8e5d-7053edbfe9d8.TVSEH8VZNRRSJUNN.SEARCH,KLV-32W512D,OmniTechRetail (4.1),"1 Rear, 1 Side",2,"₹31,900",flipkart,Sony,tv,"[""1 TV Unit"",""Remote Control (RMT-TX202P)"",""Batteries (R03)"",""AC Power Adapter"",""AC Power Cord"",""Operating Instructions"",""Quick Setup Guide"",""Table Top Stand - Separate (Assembly Required)""]"
"₹38,499",https://www.flipkart.com/cloudwalker-cloudtv-139cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmeqekqjb4ep9nn?pid=TVSEQEKJHVT5EV5Z&srno=b_2_46&otracker=browse&lid=LSTTVSEQEKJHVT5EV5Z7YKHHM&fm=organic&iid=12fdab5f-645f-4275-9239-8c19948457e7.TVSEQEKJHVT5EV5Z.SEARCH,CLOUD TV 55SU,OmniTechRetail (4.1),3(Side),3,"₹61,990",flipkart,CloudWalker,tv,"[""1 Unit LED TV"",""User Manual"",""Warranty Card"",""Remote Control"",""2 AAA Batteries""]"
"₹14,499",https://www.flipkart.com/noble-skiodo-98cm-39-inch-hd-ready-led-tv/p/itmewzgftdzzygvz?pid=TVSEWZGFMQGMRTRK&srno=b_2_47&otracker=browse&lid=LSTTVSEWZGFMQGMRTRKJOFK35&fm=organic&iid=8f0477b7-fbd2-41e7-a64e-46034138970d.TVSEWZGFMQGMRTRK.SEARCH,BLT39OD01,OmniTechRetail (4.1),3 Rear,3,"₹21,999",flipkart,Noble,tv,"[""1 TV Unit"",""Remote"",""User Manual"",""Batteries"",""Table Top Stand Accessories"",""Wall Mount Accessories""]"
"₹6,999",https://www.flipkart.com/noble-skiodo-55cm-22-inch-full-hd-led-tv/p/itmewzgfumqezaxt?pid=TVSEWZGFJHGBZJ4A&srno=b_2_48&otracker=browse&lid=LSTTVSEWZGFJHGBZJ4AOXROT4&fm=organic&iid=8231f138-dff1-4371-81bf-1e855ba7cae5.TVSEWZGFJHGBZJ4A.SEARCH,NB22VRI01,OmniTechRetail (4.1),1 Rear,1,"₹8,999",flipkart,Noble,tv,"[""1 TV Unit"",""Remote"",""User Manual"",""Batteries"",""Table Top Stand Accessories"",""Wall Mount Accessories""]"
